id	level_category	level_code	level name	description
1	1	SK1	Skills Gained	\N
2	1	SK2	Skills to Improve	\N
3	1	SK3	Skills to Learn	\N
4	1	SK4	Skills of Interest	\N
5	2	GL1	Goals Achieved	\N
6	2	GL2	Goals of Interest	\N
7	2	GL3	Goals to Accomplish	\N
8	3	PS1	Promises Kept	\N
9	3	PS2	Promises to Develop	\N
10	3	PS3	Promises of Interest	\N
11	4	HB1	Hobbies Developed	\N
12	4	HB2	Hobbies to Learn	\N
13	4	HB3	Hobbies of Interest	\N
14	5	MP1	"Peer/Friendly i.e. support, advice"	\N
15	5	MP2	"Natural, senior mentoring junior"	\N
16	5	MP3	Formal i.e. trainer trainee	\N
17	5	MP4	Supervisory	\N
18	6	APC1	ways to	\N
19	6	APC2	tips to	\N
20	6	APC3	instructions to	\N
21	6	APC4	methods of	\N
22	6	APC5	things to	\N
23	7	PTY1	low	\N
24	7	PTY2	medium	\N
25	7	PTY3	high	\N
26	7	PTY4	critical	\N
27	8	CT1	participant	\N
28	8	CT2	monitor	\N
29	8	CT3	judge	\N
